recipe_id,recipe_name,ingredients,cuisine,calories,rating,instructions,difficulty
30,Ceviche,fish lime juice onion cilantro chili,Mexican/Peruvian,230,4.3,Dice fresh fish into small cubes | Squeeze fresh lime juice over fish | Add diced onion and cilantro | Mix in chopped chili | Refrigerate for 30 minutes to marinate | Drain excess liquid | Season with salt | Serve chilled with tortilla chips,medium
31,Bibimbap,rice beef spinach carrot egg gochujang,Korean,500,4.7,Cook rice and keep warm | Sauté spinach and carrots separately | Cook beef with soy sauce and garlic | Fry egg sunny-side up | Arrange rice in bowl | Place vegetables and beef on top in sections | Add fried egg in center | Drizzle with gochujang and serve,medium
32,Chicken Shawarma,chicken garlic yogurt pita cucumber tomato,Middle Eastern,480,4.6,"Marinate chicken in yogurt, garlic, and spices | Grill or roast chicken until cooked | Slice chicken thinly | Warm pita bread | Spread yogurt sauce on pita | Add chicken slices | Top with diced cucumber and tomato | Wrap and serve",hard
33,Mac and Cheese,pasta cheddar butter milk flour,American,520,4.4,Cook pasta until al dente | Make roux with butter and flour | Gradually add milk while whisking | Add shredded cheddar and stir until melted | Season with salt and pepper | Mix in cooked pasta | Transfer to baking dish | Bake until bubbly and golden,medium
34,Beef Burrito,beef rice beans tortilla cheese salsa,Mexican,550,4.5,Cook seasoned beef until browned | Warm large tortillas | Spread rice down center of tortilla | Add beans and beef | Top with shredded cheese | Add salsa on top | Fold sides and roll tightly | Serve with sour cream,medium
35,Spring Rolls,cabbage carrot noodles wrapper soy sauce,Vietnamese,220,4.2,Soak rice noodles until soft | Shred cabbage and carrot thinly | Blanch vegetables briefly | Soak rice paper wrapper in water | Place vegetables and noodles on wrapper | Fold sides and roll tightly | Serve with soy sauce for dipping,medium
36,Stuffed Peppers,bell pepper rice beef tomato cheese,Spanish,400,4.3,Preheat oven to 375°F (190°C) | Cut bell peppers in half and remove seeds | Mix cooked rice | ground beef | and diced tomatoes | Season mixture with salt and pepper | Stuff pepper halves with mixture | Top with shredded cheese | Bake for 30 minutes | Serve hot,medium
37,Miso Soup,broth tofu seaweed green onion miso paste,Japanese,120,4.1,Heat broth in pot | Cut tofu into small cubes | Add tofu and seaweed to broth | Dissolve miso paste in small amount of broth | Stir miso mixture into pot | Heat gently without boiling | Add sliced green onions | Serve immediately,medium
38,Chicken Parmesan,chicken breadcrumbs tomato sauce mozzarella,Italian,650,4.8,Pound chicken breasts thin | Coat chicken in breadcrumbs | Fry chicken until golden brown | Place chicken in baking dish | Top with tomato sauce | Add mozzarella cheese on top | Bake until cheese melts | Serve with pasta,medium
39,Egg Fried Noodles,noodles egg soy sauce garlic peas,Chinese,380,4.4,Cook noodles and drain well | Scramble eggs in wok and set aside | Heat oil in wok over high heat | Add minced garlic and cook briefly | Toss in noodles and soy sauce | Add peas and stir-fry | Mix eggs back in | Serve hot,medium
40,Pumpkin Soup,pumpkin onion garlic cream broth,Australian,250,4.3,Peel and cube pumpkin | Sauté diced onion and garlic in butter | Add pumpkin cubes and cook briefly | Pour in broth and bring to boil | Simmer until pumpkin is soft | Blend soup until smooth | Stir in cream | Serve with crusty bread,medium
41,Pav Bhaji,potato peas tomato butter bun masala,Indian,450,4.6,Boil and mash potatoes | Cook peas until tender | Sauté onion and tomatoes with pav bhaji masala | Add mashed vegetables and mix | Add butter generously | Simmer until thick | Toast pav buns with butter | Serve bhaji with pav,medium
42,Bulgogi,beef soy sauce garlic sugar sesame oil,Korean,500,4.7,Slice beef thinly against the grain | Mix soy sauce | sugar | garlic | and sesame oil | Marinate beef for at least 2 hours | Heat pan or grill to high heat | Cook beef in batches quickly | Don't overcrowd the pan | Serve with rice and lettuce wraps,medium
43,Tandoori Chicken,chicken yogurt spices lemon onion,Indian,470,4.6,"Make marinade with yogurt, spices, and lemon juice | Score chicken pieces deeply | Coat chicken with marinade | Refrigerate for 4 hours or overnight | Preheat oven to 450Ã‚Â°F (230Ã‚Â°C) | Roast chicken until charred and cooked | Garnish with onion rings | Serve with naan",medium
44,Tom Yum Soup,shrimp lemongrass lime chili mushroom,Thai,280,4.5,Bring broth to boil | Add lemongrass and lime leaves | Add mushrooms and cook briefly | Add shrimp and cook until pink | Stir in chili paste for heat | Squeeze in fresh lime juice | Season with fish sauce | Serve hot with cilantro,medium
45,Clam Chowder,clams potato cream onion celery,American,520,4.4,Cook diced bacon until crispy | Sauté onion and celery in bacon fat | Add diced potatoes and cook | Pour in clam juice and broth | Simmer until potatoes are tender | Add clams and cook briefly | Stir in cream | Season and serve with crackers,medium
46,Chicken Alfredo,pasta chicken cream parmesan garlic,Italian,620,4.8,Cook pasta until al dente | Season and cook chicken in butter | Slice cooked chicken into strips | Make sauce with cream | butter | and garlic | Add grated Parmesan and stir until smooth | Toss pasta with sauce | Top with sliced chicken | Serve with extra Parmesan,medium
47,Veggie Paella,rice saffron peas bell pepper artichoke,Spanish,420,4.3,Heat oil in paella pan | Sauté bell peppers until soft | Add rice and coat with oil | Stir in saffron-infused broth | Add peas and artichokes | Simmer without stirring for 20 minutes | Let rest covered for 5 minutes | Serve with lemon wedges,hard
48,Hummus Wrap,chickpeas tahini lemon garlic pita cucumber,Middle Eastern,350,4.5,"Blend chickpeas, tahini, lemon, and garlic for hummus | Warm pita bread | Spread generous hummus inside pita | Add sliced cucumber | Add diced tomatoes and lettuce | Drizzle with olive oil | Wrap tightly and serve",medium
49,Pesto Pasta,pasta basil garlic olive oil parmesan,Italian,500,4.6,"Cook pasta in salted boiling water | Blend basil, garlic, pine nuts, and parmesan | Slowly add olive oil while blending | Season pesto with salt and pepper | Drain pasta and reserve pasta water | Toss pasta with pesto | Add pasta water to thin if needed | Serve with extra Parmesan",medium
50,Samosa,potato peas flour spices oil,Indian,300,4.4,Boil and mash potatoes | Mix potatoes with cooked peas and spices | Make dough with flour and water | Roll dough and cut into triangles | Fill triangles with potato mixture | Seal edges with water | Deep fry until golden brown | Serve with chutney,medium
51,Beef Kebab,beef onion bell pepper spices skewer,Turkish,480,4.6,Cut beef into cubes | Marinate beef in spices and oil | Cut onion and bell pepper into chunks | Thread beef and vegetables on skewers | Preheat grill to high heat | Grill kebabs turning frequently | Cook until beef is charred outside | Serve with rice or flatbread,hard
52,Fried Plantains,plantain oil salt,African/Caribbean,320,4.2,Peel ripe plantains | Slice plantains diagonally | Heat oil in pan over medium heat | Fry plantain slices until golden | Flip and fry other side | Drain on paper towels | Sprinkle with salt | Serve as side dish or snack,easy
53,Mango Sticky Rice,mango rice coconut milk sugar,Thai,350,4.7,Soak sticky rice overnight | Steam rice until tender | Heat coconut milk with sugar | Pour half of coconut milk over rice | Let rice absorb for 30 minutes | Slice ripe mango | Serve rice with mango slices | Drizzle remaining coconut milk on top,medium
54,Chicken Quesadilla,chicken cheese tortilla onion pepper,Mexican,480,4.5,Cook seasoned chicken and dice | Sauté onion and bell pepper | Place tortilla in pan | Sprinkle cheese on half of tortilla | Add chicken and vegetables | Fold tortilla in half | Cook until cheese melts and tortilla crisps | Slice and serve with salsa,medium
55,Spinach Omelette,egg spinach cheese onion butter,American,250,4.3,Beat eggs with salt and pepper | Sauté fresh spinach until wilted | Heat butter in non-stick pan | Pour eggs into pan | Add spinach and diced onion | Sprinkle cheese on top | Fold omelette in half | Serve hot,easy
56,Couscous Salad,couscous cucumber tomato olive oil lemon,North African,280,4.2,Pour boiling water over couscous and cover | Fluff couscous with fork after 5 minutes | Dice cucumber and tomatoes | Add vegetables to cooled couscous | Drizzle with olive oil | Squeeze fresh lemon juice | Season with salt and herbs | Toss and serve chilled,easy
57,Lasagna,pasta beef tomato sauce ricotta mozzarella,Italian,700,4.9,Brown ground beef with onions | Add tomato sauce and simmer | Make white sauce with butter | flour | and milk | Layer sauce | lasagna sheets | and cheese | Repeat layers ending with cheese | Cover with ricotta and mozzarella | Bake at 375Ã‚Â°F for 45 minutes | Let rest before slicing,medium
58,Gnocchi with Pesto,gnocchi basil parmesan pine nuts olive oil,Italian,620,4.7,Boil gnocchi until they float | Blend basil | pine nuts | Parmesan | and garlic | Stream in olive oil while blending pesto | Drain gnocchi and reserve pasta water | Toss gnocchi with pesto | Add pasta water if needed | Top with extra Parmesan | Serve immediately,medium
59,Beef Rendang,beef coconut milk lemongrass chili,Malaysian,650,4.8,Cut beef into chunks | Toast spices and blend with lemongrass | Brown beef in oil | Add spice paste and cook | Pour in coconut milk | Add chili and simmer | Cook slowly for 2-3 hours until tender | Serve with rice,hard
60,Okonomiyaki,cabbage flour egg pork sauce,Japanese,480,4.5,Shred cabbage finely | Mix flour | egg | and water for batter | Fold cabbage into batter | Heat oil in pan | Pour batter to form pancake | Add pork slices on top | Flip and cook other side | Drizzle with sauce and serve,medium
61,Baklava,phyllo dough honey nuts butter syrup,Middle Eastern,430,4.9,Layer phyllo sheets with melted butter | Sprinkle chopped nuts between layers | Repeat until all phyllo is used | Cut into diamond shapes before baking | Bake at 350°F until golden | Make syrup with honey and sugar | Pour hot syrup over baklava | Let cool completely before serving,hard
62,Tomato Soup,tomato onion garlic cream basil,American,240,4.2,Sauté onion and garlic in butter | Add fresh tomatoes and cook down | Pour in broth and bring to simmer | Add cream and fresh basil | Blend soup until smooth | Season with salt and pepper | Reheat gently | Serve with grilled cheese sandwich,medium
63,Cabbage Rolls,cabbage rice beef tomato sauce,Eastern European,420,4.4,Blanch whole cabbage leaves | Mix cooked rice with ground beef | Season meat mixture well | Place filling on cabbage leaf | Roll leaf around filling tightly | Place rolls in baking dish | Pour tomato sauce over rolls | Bake covered for 1 hour,medium
64,Kimchi Fried Rice,kimchi rice egg soy sauce sesame oil,Korean,420,4.6,Chop kimchi into small pieces | Heat oil in wok over high heat | Stir-fry kimchi briefly | Add day-old rice and break up | Add soy sauce and sesame oil | Toss until well combined | Push rice to side and fry egg | Serve rice topped with fried egg,medium
65,Moussaka,eggplant beef tomato bechamel sauce,Greek,600,4.7,Slice and fry eggplant until golden | Brown ground beef with onions | Add tomatoes and simmer meat sauce | Make bechamel sauce with butter | flour | and milk | Layer eggplant and meat sauce | Pour bechamel on top | Bake at 375Ã‚Â°F for 45 minutes | Let cool before serving,hard
66,Coconut Shrimp,shrimp coconut flakes egg flour oil,Caribbean,480,4.5,Peel and devein shrimp leaving tails | Dredge shrimp in flour | Dip in beaten egg | Coat with coconut flakes | Heat oil for deep frying | Fry shrimp until golden brown | Drain on paper towels | Serve with sweet chili sauce,medium
67,Paneer Butter Masala,paneer tomato cream butter spices,Indian,550,4.8,Cut paneer into cubes | Make tomato sauce with butter and spices | Add cream to sauce | Simmer sauce until thickened | Lightly fry paneer cubes | Add paneer to sauce gently | Simmer for 10 minutes | Serve with naan or rice,medium
68,Tofu Stir Fry,tofu broccoli bell pepper soy sauce garlic,Asian,320,4.3,Press tofu and cut into cubes | Heat oil in wok over high heat | Fry tofu until golden on all sides | Remove tofu and set aside | Stir-fry broccoli and bell pepper | Add minced garlic and soy sauce | Add tofu back to wok | Toss everything together and serve,medium
69,Eggplant Parmesan,eggplant breadcrumbs tomato sauce cheese,Italian,480,4.5,Slice eggplant into rounds | Salt eggplant and let drain 30 minutes | Coat eggplant in breadcrumbs | Fry eggplant until golden | Layer eggplant with tomato sauce | Add shredded cheese between layers | Bake at 375Ã‚Â°F until bubbly | Serve with pasta,medium
70,Oatmeal Cookies,oats sugar butter flour egg cinnamon,Dessert,360,4.4,Step-by-step instructions coming soon,easy
71,Shepherd's Pie,beef mashed potato onion carrot peas,British,580,4.6,Step-by-step instructions coming soon,medium
72,ayam masak merah,chicken onion chilli,Malay,300,4.3,step 1: cut the onion,Medium
73,Laksa,laksa ,malay,450,4.4,"rebus laksa
perisi ikan",Easy
74,Nasi Lemak,"2 cups jasmine rice
1 cup coconut milk
1 pandan leaf
Salt to taste
4 hard-boiled eggs
1 cucumber (sliced)
100g ikan bilis (anchovies)
100g roasted peanuts
Sambal (chili paste)",Malay,450,5.5,"Step 1: Rinse the jasmine rice until water runs clear
Step 2: Cook rice with coconut milk, pandan leaf, and salt in a rice cooker
Step 3: Fry ikan bilis until crispy, set aside
Step 4: Boil eggs for 10 minutes, peel and cut in half
Step 5: Slice cucumber thinly
Step 6: Prepare sambal by blending chilies, onions, and shrimp paste, then fry until fragrant
Step 7: Serve coconut rice with sambal, eggs, cucumber, ikan bilis, and peanuts on the side",Medium
