"recipe_id","recipe_name","ingredients","cuisine","calories","rating","instructions","difficulty","image_url"
"11","Paella","1 1/2 cups Bomba or Arborio rice, 4 cups chicken broth, 1/2 tsp saffron threads, 400g chicken thighs (bone-in, cut into pieces), 200g large shrimp (peeled and deveined), 12 fresh mussels (cleaned and debearded), 1/2 cup frozen peas, 1 red bell pepper (sliced into strips), 1 medium onion (diced), 4 cloves garlic (minced), 2 medium tomatoes (grated), 1 tsp smoked paprika, 3 tbsp olive oil, salt to taste, lemon wedges for serving, fresh parsley (chopped)","Spanish","500","4.6","Heat olive oil in a large paella pan or wide shallow skillet over medium-high heat | Season chicken pieces with salt and brown them on all sides until golden, about 8-10 minutes, then push to edges of pan | Saut? diced onion in the center for 3 minutes until softened | Add sliced bell pepper and minced garlic, cooking for 2 more minutes | Stir in grated tomatoes and smoked paprika, cooking until tomato reduces, about 3 minutes | Add rice to the pan and stir to coat every grain with oil, toasting for 2 minutes | Warm chicken broth and steep saffron threads in it for 5 minutes, then pour evenly over rice | Gently shake the pan to distribute rice evenly ? do not stir from this point | Bring to a vigorous boil, then reduce heat to medium-low and simmer for 10 minutes | Nestle shrimp and mussels (hinge side down) into the rice and scatter peas on top | Continue cooking for another 8-10 minutes without stirring until rice is tender and liquid is absorbed | If bottom isn't crispy enough, increase heat for the final 2 minutes to create socarrat (crispy bottom) | Remove from heat, cover with a clean kitchen towel, and rest for 5 minutes | Garnish with chopped parsley and lemon wedges, then serve directly from the pan","hard","https://images.pexels.com/photos/30488931/pexels-photo-30488931.jpeg"
"12","Chocolate Cake","1 3/4 cups all-purpose flour, 2 cups granulated sugar, 3/4 cup unsweetened cocoa powder, 2 tsp baking soda, 1 tsp baking powder, 1 tsp salt, 2 large eggs, 1 cup whole milk, 1/2 cup vegetable oil, 2 tsp vanilla extract, 1 cup hot coffee or hot water, 1/2 cup unsalted butter (softened, for frosting), 3 cups powdered sugar, 1/4 cup cocoa powder (for frosting)","Dessert","480","5.0","Preheat oven to 350?F (175?C) and grease and flour two 9-inch round cake pans | In a large bowl, sift together flour, sugar, 3/4 cup cocoa powder, baking soda, baking powder, and salt | In a separate bowl, beat eggs, milk, vegetable oil, and vanilla extract until well combined | Gradually add wet ingredients to dry ingredients, mixing on medium speed for 2 minutes | Slowly pour in hot coffee (or hot water) while mixing on low speed ? batter will be thin, this is normal | Divide batter evenly between prepared pans | Bake for 30-35 minutes until a toothpick inserted in the center comes out clean | Cool cakes in pans for 10 minutes, then turn out onto wire racks to cool completely | For frosting: beat softened butter until creamy, then gradually add powdered sugar and 1/4 cup cocoa powder, alternating with 2-3 tbsp milk until smooth and spreadable | Place one cake layer on a serving plate and spread frosting on top | Place second layer on top and frost the top and sides evenly | Slice and serve at room temperature","easy","https://images.pexels.com/photos/29160669/pexels-photo-29160669.jpeg"
"13","Ratatouille","1 large eggplant (cut into 1/2-inch rounds), 2 medium zucchini (cut into 1/2-inch rounds), 4 ripe tomatoes (cut into 1/2-inch rounds), 1 medium onion (diced), 1 red bell pepper (diced), 1 yellow bell pepper (diced), 4 cloves garlic (minced), 4 tbsp olive oil, 1 tsp dried thyme, 1 tsp dried oregano, 1/2 tsp dried rosemary, salt and black pepper to taste, fresh basil leaves for garnish","French","250","4.2","Preheat oven to 375?F (190?C) | Heat 2 tbsp olive oil in a skillet over medium heat and saut? diced onion and bell peppers for 8 minutes until soft | Add minced garlic, thyme, oregano, and rosemary, cooking for 1 minute until fragrant | Spread this onion-pepper mixture evenly on the bottom of a large baking dish | Slice eggplant, zucchini, and tomatoes into uniform 1/2-inch rounds | Arrange sliced vegetables in the baking dish in alternating overlapping rows (eggplant, zucchini, tomato, repeat) for a visually appealing spiral or striped pattern | Drizzle remaining 2 tbsp olive oil generously over the arranged vegetables | Season with salt and black pepper | Cover dish with parchment paper or foil and bake for 30 minutes | Remove cover and continue baking for another 15-20 minutes until vegetables are tender and lightly caramelized on top | Let rest for 5 minutes, then garnish with fresh torn basil leaves | Serve hot, warm, or at room temperature ? flavors improve the next day","medium","https://images.pexels.com/photos/36863876/pexels-photo-36863876.jpeg"
"14","Pho","2 liters beef broth, 500g rice noodles (banh pho, flat), 300g beef sirloin (very thinly sliced), 2-inch piece fresh ginger (halved and charred), 2 onions (halved and charred), 3 star anise pods, 1 cinnamon stick, 3 cloves, 1 tbsp coriander seeds, 2 tbsp fish sauce, 1 tbsp sugar, 1 cup fresh cilantro (chopped), 1 cup fresh Thai basil leaves, 2 limes (cut into wedges), 2 cups bean sprouts, 2 fresh chili peppers (sliced), hoisin sauce for serving, sriracha for serving","Vietnamese","420","4.8","Char ginger and onion halves under a broiler or over an open flame until blackened, about 5 minutes | In a large pot, bring beef broth to a gentle simmer | Add charred ginger, onion, star anise, cinnamon stick, cloves, and coriander seeds | Simmer for 30-45 minutes to infuse flavors | Strain broth through a fine mesh sieve, discarding solids, and return clear broth to pot | Season broth with fish sauce and sugar, adjusting to taste, and keep hot | Cook rice noodles according to package directions until al dente, then drain and rinse under cold water to stop cooking | Slice beef sirloin as thinly as possible against the grain ? almost paper-thin | Divide cooked noodles among large serving bowls | Arrange raw beef slices in a single layer on top of noodles | Ladle boiling hot broth directly over the raw beef ? the heat will cook it instantly | Serve immediately with a platter of fresh cilantro, Thai basil, bean sprouts, lime wedges, and sliced chilies | Each person adds herbs and condiments to taste, along with hoisin and sriracha","hard","https://images.pexels.com/photos/34683313/pexels-photo-34683313.jpeg"
"15","Chili Con Carne","500g ground beef (80/20), 1 can (400g) kidney beans (drained and rinsed), 1 can (400g) crushed tomatoes, 1 large onion (diced), 4 cloves garlic (minced), 2 tbsp chili powder, 1 tbsp ground cumin, 1 tsp smoked paprika, 1/2 tsp cayenne pepper (optional), 1 cup beef broth, 1 tbsp tomato paste, 1 tbsp vegetable oil, salt and black pepper to taste, shredded cheddar cheese for topping, sour cream for serving, fresh cilantro (chopped)","American","520","4.3","Heat vegetable oil in a large heavy-bottomed pot over medium-high heat | Add ground beef and cook, breaking it apart with a wooden spoon, until browned all over, about 8 minutes | Add diced onion and cook for 5 minutes until softened | Stir in minced garlic, chili powder, cumin, smoked paprika, and cayenne, cooking for 1-2 minutes until spices are fragrant | Add tomato paste and stir for 1 minute to caramelize slightly | Pour in crushed tomatoes, drained kidney beans, and beef broth, stirring well to combine | Bring to a boil, then reduce heat to low and cover partially | Simmer for 30-40 minutes, stirring occasionally to prevent sticking, until thick and rich | If too thick, add a splash of water; if too thin, simmer uncovered for 10 more minutes | Season generously with salt and black pepper | Ladle into bowls and top with shredded cheddar, a dollop of sour cream, and fresh cilantro | Serve with steamed rice, cornbread, or tortilla chips on the side","medium","https://images.pexels.com/photos/14866629/pexels-photo-14866629.jpeg"
"16","Pad Thai","250g flat rice noodles (dried), 200g large shrimp (peeled and deveined), 150g firm tofu (pressed and cubed), 2 large eggs, 3 tbsp fish sauce, 2 tbsp tamarind paste, 2 tbsp sugar, 1 tbsp rice vinegar, 1/2 tsp chili flakes, 3 tbsp vegetable oil, 3 cloves garlic (minced), 1/4 cup roasted peanuts (crushed), 2 cups bean sprouts, 3 green onions (cut into 2-inch pieces), 1 lime (cut into wedges), fresh cilantro for garnish","Thai","470","4.7","Soak dried rice noodles in warm water for 30 minutes until softened but still firm, then drain well | In a small bowl, mix fish sauce, tamarind paste, sugar, rice vinegar, and chili flakes into a sauce ? stir until sugar dissolves | Heat 1 tbsp oil in a wok over high heat and stir-fry tofu cubes until golden on all sides, about 3 minutes, then remove and set aside | Add another tbsp oil to wok and stir-fry shrimp until pink, about 2 minutes per side, then remove and set aside | Add remaining oil and saut? minced garlic for 30 seconds until fragrant | Push garlic to side, crack in eggs, and scramble until just set | Add drained noodles and the prepared sauce to the wok, tossing with tongs for 2 minutes until noodles are coated and tender | Return tofu and shrimp to the wok, add green onions and half the bean sprouts, and toss for 1 more minute | Transfer to serving plates and top with crushed peanuts, remaining bean sprouts, and fresh cilantro | Serve immediately with lime wedges on the side for squeezing over","medium","https://images.pexels.com/photos/34723305/pexels-photo-34723305.jpeg"
"17","French Toast","6 thick slices day-old brioche or challah bread, 3 large eggs, 2/3 cup whole milk, 1 tsp ground cinnamon, 1 tsp vanilla extract, 1 tbsp granulated sugar, pinch of salt, 2 tbsp unsalted butter (for frying), maple syrup for serving, fresh berries for topping (optional), powdered sugar for dusting","French/American","350","4.4","In a shallow wide bowl, whisk together eggs, milk, cinnamon, vanilla extract, sugar, and a pinch of salt until fully combined and smooth | Cut bread into thick 1-inch slices ? slightly stale bread works best as it absorbs custard without falling apart | Heat 1 tbsp butter in a large non-stick skillet or griddle over medium heat until melted and foaming | Quickly dip each bread slice into the egg mixture, letting it soak for 15-20 seconds per side ? don't oversoak or it will become soggy | Let excess custard drip off before placing bread in the hot pan | Cook for 3-4 minutes per side until deeply golden brown and crispy on the outside with a slight give in the center | Sprinkle a little extra sugar on each side while cooking for a caramelized crust | Add remaining butter to pan as needed for subsequent batches | Transfer to a warm plate and keep in a low oven while cooking remaining slices | Serve in a stack dusted with powdered sugar, topped with fresh berries if desired, with warm maple syrup on the side","easy","https://images.pexels.com/photos/15820912/pexels-photo-15820912.jpeg"
"18","Goulash","600g beef chuck (cut into 2-inch cubes), 2 large onions (diced), 3 tbsp sweet Hungarian paprika, 1 tsp caraway seeds, 2 medium tomatoes (diced), 1 green bell pepper (diced), 3 medium potatoes (peeled and cubed), 2 carrots (sliced into rounds), 4 cups beef broth, 3 tbsp vegetable oil, 3 cloves garlic (minced), 1 bay leaf, salt and black pepper to taste, crusty bread for serving, sour cream for garnish","Hungarian","580","4.5","Season beef cubes generously with salt and pepper | Heat 2 tbsp oil in a large Dutch oven or heavy pot over high heat | Brown beef in batches, searing on all sides until deep brown, about 3-4 minutes per batch ? don't crowd the pot | Remove beef and set aside | Reduce heat to medium, add remaining oil, and saut? diced onions for 8-10 minutes until golden and soft | Add minced garlic and caraway seeds, cooking for 1 minute | Remove pot from heat, stir in paprika (this prevents it from burning and turning bitter), then return to low heat | Add diced tomatoes and bell pepper, cooking for 3 minutes | Return beef to pot, pour in beef broth, add bay leaf, and bring to a boil | Cover, reduce heat to low, and simmer for 1 hour | Add cubed potatoes and sliced carrots, then continue simmering for another 30-40 minutes until beef is fork-tender and vegetables are cooked through | Remove bay leaf and adjust seasoning with salt and pepper | Ladle into deep bowls, add a dollop of sour cream on top, and serve with thick slices of crusty bread for dipping","medium","https://images.pexels.com/photos/12931072/pexels-photo-12931072.jpeg"
"19","Tzatziki","1 large cucumber, 2 cups full-fat Greek yogurt, 3 cloves garlic (minced), 2 tbsp extra virgin olive oil, 2 tbsp fresh dill (finely chopped), 1 tbsp fresh lemon juice, 1/2 tsp salt, 1/4 tsp white pepper","Greek","150","4.1","Grate cucumber using the large holes of a box grater ? no need to peel unless skin is very thick | Place grated cucumber in a clean kitchen towel or cheesecloth and squeeze firmly to remove as much excess water as possible ? this prevents tzatziki from becoming watery | In a medium bowl, combine Greek yogurt, minced garlic, olive oil, chopped dill, and lemon juice | Stir in the squeezed cucumber until evenly distributed | Season with salt and white pepper, tasting and adjusting as needed | Cover bowl with plastic wrap and refrigerate for at least 1 hour, preferably 2-3 hours, to allow flavors to meld and texture to firm up | Before serving, stir once more and drizzle with a tiny amount of olive oil on top | Serve chilled as a dip with warm pita bread, as a sauce for grilled meats, or as a side with falafel and vegetables","medium","https://images.pexels.com/photos/20488277/pexels-photo-20488277.jpeg"
"20","Butter Chicken","600g boneless chicken thighs (cut into bite-size pieces), 1 cup plain yogurt, 2 tbsp lemon juice, 2 tsp garam masala, 1 tsp turmeric, 1 tsp cumin, 1 tsp chili powder, 1 tbsp grated ginger, 4 cloves garlic (minced), 2 tbsp butter, 1 tbsp vegetable oil, 1 medium onion (finely diced), 1 can (400g) crushed tomatoes, 1 cup heavy cream, 1 tsp sugar, salt to taste, fresh cilantro for garnish, steamed basmati rice or naan for serving","Indian","615","4.8","In a large bowl, combine yogurt, lemon juice, 1 tsp garam masala, turmeric, cumin, chili powder, half the grated ginger, and half the minced garlic | Add chicken pieces and coat well, then cover and marinate in the refrigerator for at least 1 hour, preferably 4-6 hours | Thread marinated chicken onto skewers or spread on a baking sheet and grill/broil for 10-12 minutes until slightly charred on edges, turning once ? chicken can also be pan-fried in batches | In a large deep pan, melt butter with vegetable oil over medium heat | Saut? finely diced onion for 6-8 minutes until soft and golden | Add remaining ginger and garlic, cooking for 1 minute until fragrant | Pour in crushed tomatoes, remaining 1 tsp garam masala, and sugar, then simmer for 15 minutes until sauce thickens and oil separates at edges | Use an immersion blender to blend sauce until smooth and velvety (or transfer carefully to a blender) | Return blended sauce to pan, stir in heavy cream, and bring to a gentle simmer | Add cooked chicken pieces to the sauce and simmer together for 10 minutes until chicken is fully cooked and flavors meld | Season with salt to taste | Garnish with fresh chopped cilantro and serve hot with steamed basmati rice or warm naan bread","medium","https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D"
"21","Caesar Salad","1 large head romaine lettuce (chopped), 2 boneless skinless chicken breasts, 1 cup croutons, 1/2 cup Parmesan cheese (freshly grated or shaved), 1/2 cup Caesar dressing, 2 tbsp olive oil, 1 tsp garlic powder, salt and black pepper, 1 lemon wedge, 2 anchovy fillets (optional, for dressing)","American","320","4.4","Season chicken breasts with olive oil, garlic powder, salt, and pepper | Heat a grill pan or skillet over medium-high heat and cook chicken for 6-7 minutes per side until golden brown and internal temperature reaches 165?F (74?C) | Transfer chicken to a cutting board and let rest for 5 minutes, then slice into thin strips | Wash romaine lettuce thoroughly, spin dry, and chop into bite-size pieces | Place chopped lettuce in a large salad bowl | Pour Caesar dressing over lettuce and toss thoroughly until every leaf is evenly coated | Add most of the grated Parmesan and toss again | Top with croutons and arrange sliced chicken strips across the top | Sprinkle remaining Parmesan over the salad | Squeeze fresh lemon juice over the top for brightness | Serve immediately on chilled plates","easy","https://images.pexels.com/photos/35532838/pexels-photo-35532838.jpeg"
"22","Teriyaki Salmon","4 salmon fillets (150g each, skin-on), 1/3 cup soy sauce, 3 tbsp mirin, 2 tbsp sugar, 1 tbsp honey, 1 tbsp grated fresh ginger, 3 cloves garlic (minced), 1 tbsp sesame oil, 1 tbsp vegetable oil, 1 tbsp sesame seeds (toasted), 2 green onions (thinly sliced), steamed white rice for serving","Japanese","450","4.7","In a small bowl, whisk together soy sauce, mirin, sugar, honey, grated ginger, and minced garlic until sugar dissolves to make teriyaki sauce | Place salmon fillets in a shallow dish and pour half the sauce over them, reserving the other half | Marinate salmon in the refrigerator for 30 minutes, turning once ? do not marinate longer or the fish will become too salty | Heat vegetable oil in a non-stick skillet over medium-high heat | Remove salmon from marinade, letting excess drip off, and pat skin dry with paper towel | Sear salmon skin-side down for 4 minutes until skin is crispy and golden | Carefully flip and cook the other side for 2-3 minutes until salmon is just cooked through but still moist in the center | Transfer salmon to a plate and pour the reserved unused sauce into the hot pan | Simmer sauce for 2-3 minutes until it reduces and thickens to a glossy glaze | Return salmon to pan briefly and spoon glaze over the top | Sprinkle with toasted sesame seeds and sliced green onions | Serve immediately over a bed of steamed white rice","medium","https://images.unsplash.com/photo-1684815595429-cf46bff6294f?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8dGVyaXlha2klMjBzYWxtb258ZW58MHx8MHx8fDA%3D"
"23","Vegetable Stir Fry","1 head broccoli (cut into florets), 1 red bell pepper (sliced into strips), 1 yellow bell pepper (sliced into strips), 2 medium carrots (julienned), 200g firm tofu (pressed and cubed), 3 tbsp soy sauce, 1 tbsp oyster sauce (optional), 1 tbsp cornstarch mixed with 2 tbsp water, 3 cloves garlic (minced), 1 tbsp grated ginger, 2 tbsp vegetable oil, 1 tsp sesame oil, 1 tbsp sesame seeds, steamed jasmine rice for serving","Asian","300","4.3","Press tofu for 20 minutes by wrapping in paper towels and placing a heavy object on top, then cut into 1-inch cubes | Heat 1 tbsp vegetable oil in a wok over high heat until shimmering | Stir-fry tofu cubes for 4-5 minutes until golden and crispy on all sides, then remove and set aside | Add remaining oil to the wok | Add julienned carrots first (they take longest) and stir-fry for 2 minutes | Add broccoli florets and stir-fry for another 2 minutes | Add bell pepper strips, minced garlic, and grated ginger, tossing constantly for 1-2 minutes until vegetables are tender-crisp | In a small bowl, mix soy sauce, oyster sauce, and cornstarch slurry | Return tofu to the wok, pour sauce over everything, and toss for 1 minute until sauce thickens and coats all ingredients evenly | Remove from heat and drizzle with sesame oil | Sprinkle sesame seeds on top | Serve immediately over steamed jasmine rice","medium","https://images.pexels.com/photos/10695968/pexels-photo-10695968.jpeg?"
